,symptoms,prognosa
27,"Saya tidak merasakan adanya ruam kulit. Saya mengalami sakit perut dalam beberapa hari terakhir. Saya tidak merasakan panas dingin. bisul di lidah. Saya menemukan tanda-tanda muntah. Sesekali, nyeri dada saya rasakan. Saya tidak merasakan adanya penurunan berat badan. batuk.",2
28,"Saya tidak merasakan adanya nyeri sendi. Saya mengalami batuk dalam beberapa hari terakhir. Tidak ada kecemasan. Saya mengalami sakit perut. Sesekali, keasaman saya rasakan. Saya tidak merasakan adanya penurunan berat badan. Sesekali, nyeri dada saya rasakan. Sering bermasalah dengan muntah.",2
29,Saya mengalami nyeri dada sesekali. bisul di lidah. batuk. Saya tidak merasakan adanya gangguan pencernaan. keasaman. Tidak ada gatal. Saya mengalami sakit perut sesekali. Saya tidak merasakan adanya bercak di tenggorokan.,2
30,Saya tidak merasakan adanya bisul di lidah. Sering bermasalah dengan mual. Saya tidak merasakan adanya urin kuning. Saya mengalami gatal dalam beberapa hari terakhir. menguningnya mata. Sering bermasalah dengan sakit perut 1. Saya tidak merasakan pembengkakan perut. muntah. Saya menemukan tanda-tanda kulit kekuningan. Saya mengalami kehilangan selera makan dalam beberapa hari terakhir.,3
31,Saya tidak merasakan adanya penambahan berat badan. Saya mengalami muntah dalam beberapa hari terakhir. Saya mengalami menguningnya mata. Saya menemukan tanda-tanda kulit kekuningan. Saya mengalami sakit perut 1 dalam beberapa hari terakhir. Sering bermasalah dengan mual. Saya tidak merasakan adanya kuku rapuh. Saya tidak merasakan adanya dahak. Sering bermasalah dengan kehilangan selera makan.,3
32,"Saya mengalami gatal dalam beberapa hari terakhir. menguningnya mata. Kasus mual ringan. Saya tidak merasakan kadar gula tidak teratur. Kasus sakit perut 1 ringan. Tidak ada muntah. Tidak ada penurunan berat badan. Saya mengalami kulit kekuningan sesekali. Sesekali, kehilangan selera makan saya rasakan.",3
33,Tidak ada nyeri dada. Kasus kehilangan selera makan ringan. Saya tidak merasakan adanya sakit kepala. gatal. Kasus mual ringan. menguningnya mata. Kasus muntah ringan. Saya tidak merasakan adanya berkeringat. Saya menemukan tanda-tanda sakit perut 1.,3
34,"Saya tidak merasakan adanya nyeri sendi. Saya mengalami menguningnya mata dalam beberapa hari terakhir. Tidak ada demam ringan. Sesekali, sakit perut 1 saya rasakan. Saya mengalami muntah sesekali. kehilangan selera makan. Sesekali, kulit kekuningan saya rasakan. Sering bermasalah dengan gatal. Saya tidak merasakan adanya nyeri saat buang air besar.",3
35,"Sesekali, mual saya rasakan. Tidak ada panas dingin. Saya menemukan tanda-tanda menguningnya mata. Saya mengalami gatal sesekali. muntah. kulit kekuningan. Saya tidak merasakan adanya keasaman. Tidak ada nyeri sendi. sakit perut 1.",3
36,"Saya menemukan tanda-tanda mual. Saya tidak merasakan kelesuan. Saya tidak merasakan kegelisahan. Saya mengalami gatal. Sesekali, muntah saya rasakan. Saya mengalami kehilangan selera makan. kulit kekuningan. Kasus menguningnya mata ringan. Saya tidak merasakan penambahan berat badan.",3
37,Saya tidak merasakan adanya sakit perut. Saya mengalami sakit perut 1 sesekali. Saya mengalami gatal dalam beberapa hari terakhir. Kasus kulit kekuningan ringan. Saya mengalami mual. kehilangan selera makan. muntah. Saya tidak merasakan berkeringat. Saya tidak merasakan penurunan berat badan.,3
38,menguningnya mata. Saya menemukan tanda-tanda muntah. Saya mengalami kehilangan selera makan. kulit kekuningan. Saya tidak merasakan mata cekung. gatal. Saya tidak merasakan kegelisahan. Kasus mual ringan. Saya tidak merasakan tangan dan kaki dingin. Sering bermasalah dengan sakit perut 1.,3
39,"Saya tidak merasakan buang air kecil bercak. Sesekali, muntah saya rasakan. Saya tidak merasakan kegelisahan. Saya mengalami gatal. Saya mengalami menguningnya mata sesekali. Saya mengalami sakit perut 1 dalam beberapa hari terakhir. Saya tidak merasakan tangan dan kaki dingin. Kasus kulit kekuningan ringan. mual. kehilangan selera makan.",3
40,"Saya mengalami buang air kecil bercak sesekali. sakit perut. Saya mengalami buang air kecil yang terbakar dalam beberapa hari terakhir. Tidak ada bersin terus menerus. Saya tidak merasakan keasaman. Tidak ada erupsi kulit nodal. Saya mengalami gatal sesekali. Sesekali, ruam kulit saya rasakan.",4
41,Saya tidak merasakan adanya sembelit. Saya mengalami sakit perut dalam beberapa hari terakhir. Tidak ada kelelahan. Saya menemukan tanda-tanda gatal. Saya tidak merasakan muntah. Saya mengalami buang air kecil bercak sesekali. Saya mengalami buang air kecil yang terbakar.,4
42,Kasus buang air kecil yang terbakar ringan. Sering bermasalah dengan gatal. Saya mengalami ruam kulit dalam beberapa hari terakhir. Sering bermasalah dengan buang air kecil bercak. Tidak ada tiroid yang membesar. Tidak ada penambahan berat badan. Saya tidak merasakan penglihatan kabur dan terdistorsi.,4
43,"Saya mengalami gatal sesekali. Saya menemukan tanda-tanda ruam kulit. Sesekali, buang air kecil bercak saya rasakan. Saya tidak merasakan urin gelap. Tidak ada kegelisahan. Kasus sakit perut ringan. Saya tidak merasakan adanya kadar gula tidak teratur.",4
44,Saya mengalami gatal sesekali. sakit perut. Saya tidak merasakan adanya gangguan pencernaan. Kasus ruam kulit ringan. Saya tidak merasakan tangan dan kaki dingin. Saya tidak merasakan adanya kelesuan. Saya mengalami buang air kecil yang terbakar.,4
45,Saya tidak merasakan kadar gula tidak teratur. Saya mengalami buang air kecil yang terbakar dalam beberapa hari terakhir. buang air kecil bercak. Tidak ada diare. Saya mengalami sakit perut dalam beberapa hari terakhir. Sering bermasalah dengan ruam kulit. Tidak ada mual.,4
46,Sering bermasalah dengan sakit perut. Saya tidak merasakan adanya dehidrasi. Saya mengalami buang air kecil yang terbakar sesekali. Saya tidak merasakan adanya demam tinggi. Sering bermasalah dengan buang air kecil bercak. Saya mengalami gatal dalam beberapa hari terakhir. Saya tidak merasakan batuk.,4
47,Kasus ruam kulit ringan. buang air kecil yang terbakar. Sering bermasalah dengan gatal. Saya tidak merasakan panas dingin. Saya mengalami buang air kecil bercak. Tidak ada muntah. Saya tidak merasakan adanya bersin terus menerus.,4
48,"Sering bermasalah dengan gatal. Kasus buang air kecil bercak ringan. Saya tidak merasakan gemetaran. Sesekali, sakit perut saya rasakan. Saya mengalami ruam kulit dalam beberapa hari terakhir. Tidak ada perubahan suasana hati. Tidak ada muntah.",4
49,"Saya tidak merasakan adanya penambahan berat badan. Saya mengalami gatal. Saya tidak merasakan adanya perubahan suasana hati. Sesekali, sakit perut saya rasakan. Saya tidak merasakan adanya panas dingin. buang air kecil yang terbakar. ruam kulit.",4
50,"Saya mengalami sakit perut 1. lewatnya gas. Sesekali, kehilangan selera makan saya rasakan. Sering bermasalah dengan gatal dalam. Sering bermasalah dengan muntah. Saya tidak merasakan adanya buang air kecil yang terbakar. Saya tidak merasakan perubahan suasana hati. Saya tidak merasakan buang air kecil bercak.",5
51,Saya tidak merasakan tangan dan kaki dingin. Saya mengalami lewatnya gas. Saya mengalami gatal dalam dalam beberapa hari terakhir. Saya tidak merasakan kelelahan. Saya mengalami muntah. Tidak ada erupsi kulit nodal. Saya mengalami gangguan pencernaan. sakit perut 1.,5
52,"sakit perut 1. Saya tidak merasakan bersin terus menerus. Sesekali, lewatnya gas saya rasakan. Saya tidak merasakan adanya penambahan berat badan. gatal dalam. Kasus kehilangan selera makan ringan. Saya menemukan tanda-tanda gangguan pencernaan. Saya tidak merasakan kegelisahan.",5
53,Saya tidak merasakan keasaman. Sering bermasalah dengan kehilangan selera makan. Saya mengalami sakit perut 1 dalam beberapa hari terakhir. Saya tidak merasakan kelelahan. Saya mengalami gatal dalam. Saya menemukan tanda-tanda muntah. Saya tidak merasakan gemetaran. Sering bermasalah dengan lewatnya gas.,5
54,"Saya tidak merasakan tangan dan kaki dingin. Saya mengalami sakit perut 1 dalam beberapa hari terakhir. Saya menemukan tanda-tanda gangguan pencernaan. Sesekali, gatal dalam saya rasakan. Saya mengalami lewatnya gas dalam beberapa hari terakhir. Saya mengalami muntah dalam beberapa hari terakhir. Saya tidak merasakan adanya keasaman. Saya tidak merasakan adanya buang air kecil bercak.",5
55,"Sering bermasalah dengan kehilangan selera makan. Saya tidak merasakan adanya tangan dan kaki dingin. Saya tidak merasakan gemetaran. Sesekali, lewatnya gas saya rasakan. Saya mengalami muntah. gangguan pencernaan. Saya tidak merasakan penurunan berat badan. Sesekali, gatal dalam saya rasakan.",5
56,Saya menemukan tanda-tanda gangguan pencernaan. Saya mengalami gatal dalam sesekali. Sering bermasalah dengan muntah. Saya tidak merasakan demam tinggi. Saya mengalami sakit perut 1 sesekali. Saya mengalami kehilangan selera makan dalam beberapa hari terakhir. Tidak ada bisul di lidah. Tidak ada sakit kepala.,5
57,"Saya tidak merasakan batuk. Sesekali, gangguan pencernaan saya rasakan. Saya menemukan tanda-tanda muntah. Sesekali, lewatnya gas saya rasakan. Tidak ada buang air kecil bercak. Kasus kehilangan selera makan ringan. Saya tidak merasakan keasaman. Saya mengalami sakit perut 1 sesekali.",5
58,"Saya tidak merasakan erupsi kulit nodal. gatal dalam. muntah. Saya menemukan tanda-tanda gangguan pencernaan. Sesekali, lewatnya gas saya rasakan. Sering bermasalah dengan kehilangan selera makan. sakit perut 1. Saya tidak merasakan gatal. Saya tidak merasakan buang air kecil bercak.",5
59,lewatnya gas. Saya mengalami sakit perut 1 sesekali. Saya tidak merasakan adanya sakit punggung. Tidak ada penambahan berat badan. Sering bermasalah dengan gangguan pencernaan. muntah. Saya tidak merasakan adanya pemborosan otot. Sering bermasalah dengan gatal dalam. kehilangan selera makan.,5
60,"Saya mengalami kontak perkawinan ekstra sesekali. Tidak ada gatal. Saya mengalami demam tinggi sesekali. Tidak ada menguningnya mata. Saya tidak merasakan dahak. Sesekali, bercak di tenggorokan saya rasakan. Saya mengalami pemborosan otot sesekali.",6
61,Tidak ada kelesuan. Tidak ada sakit perut. Kasus kontak perkawinan ekstra ringan. Saya mengalami bercak di tenggorokan dalam beberapa hari terakhir. Saya tidak merasakan adanya penurunan berat badan. Kasus demam tinggi ringan.,6
62,Saya mengalami kontak perkawinan ekstra dalam beberapa hari terakhir. Saya mengalami demam tinggi sesekali. Saya tidak merasakan kelesuan. Kasus pemborosan otot ringan. Tidak ada bisul di lidah. Tidak ada sakit punggung.,6
63,Tidak ada sakit perut. pemborosan otot. Sering bermasalah dengan kontak perkawinan ekstra. Saya tidak merasakan adanya bisul di lidah. Saya mengalami bercak di tenggorokan. Saya tidak merasakan nyeri sendi.,6
64,Saya mengalami bercak di tenggorokan sesekali. Saya mengalami pemborosan otot. Saya tidak merasakan gatal. Tidak ada sakit punggung. Tidak ada sesak napas. Saya mengalami demam tinggi dalam beberapa hari terakhir.,6
65,"Saya tidak merasakan kulit kekuningan. Saya mengalami bercak di tenggorokan. Saya tidak merasakan adanya bersin terus menerus. Saya tidak merasakan adanya gemetaran. Sering bermasalah dengan demam tinggi. Sesekali, kontak perkawinan ekstra saya rasakan. Sesekali, pemborosan otot saya rasakan.",6
66,Saya mengalami kontak perkawinan ekstra sesekali. Saya tidak merasakan mual. Saya tidak merasakan adanya gemetaran. Sering bermasalah dengan bercak di tenggorokan. Saya mengalami pemborosan otot dalam beberapa hari terakhir. Kasus demam tinggi ringan. Saya tidak merasakan bersin terus menerus.,6
67,"Saya tidak merasakan adanya kegelisahan. Saya mengalami bercak di tenggorokan. Tidak ada tangan dan kaki dingin. Sesekali, kontak perkawinan ekstra saya rasakan. Saya tidak merasakan keasaman. Saya mengalami demam tinggi dalam beberapa hari terakhir.",6
68,pemborosan otot. demam tinggi. Saya mengalami kontak perkawinan ekstra dalam beberapa hari terakhir. Saya tidak merasakan adanya bersin terus menerus. Saya tidak merasakan sakit perut 1. Tidak ada kulit kekuningan.,6
69,"Saya tidak merasakan gangguan pencernaan. Sering bermasalah dengan bercak di tenggorokan. Sesekali, pemborosan otot saya rasakan. Tidak ada kelesuan. Saya tidak merasakan berkeringat. demam tinggi.",6
70,"Sesekali, kegemukan saya rasakan. Tidak ada buang air kecil bercak. Kasus kelelahan ringan. Saya mengalami kelesuan dalam beberapa hari terakhir. penglihatan kabur dan terdistorsi. Saya mengalami kadar gula tidak teratur dalam beberapa hari terakhir. Saya tidak merasakan nyeri sendi. Tidak ada panas dingin. Saya menemukan tanda-tanda kegelisahan. Sering bermasalah dengan poliuria. Sering bermasalah dengan rasa lapar yang berlebihan. Sesekali, penurunan berat badan saya rasakan. Sering bermasalah dengan nafsu makan meningkat.",7
71,"Sering bermasalah dengan rasa lapar yang berlebihan. Saya mengalami poliuria sesekali. Saya tidak merasakan kelemahan otot. Sering bermasalah dengan kegemukan. Sering bermasalah dengan kegelisahan. Saya mengalami kadar gula tidak teratur. Saya tidak merasakan adanya kontak perkawinan ekstra. Saya mengalami kelelahan. Tidak ada nyeri sendi. Sesekali, nafsu makan meningkat saya rasakan. Saya mengalami penurunan berat badan. Sering bermasalah dengan penglihatan kabur dan terdistorsi. kelesuan.",7
72,Saya tidak merasakan adanya bersin terus menerus. Saya mengalami penurunan berat badan dalam beberapa hari terakhir. nafsu makan meningkat. Saya menemukan tanda-tanda penglihatan kabur dan terdistorsi. Sering bermasalah dengan rasa lapar yang berlebihan. Saya mengalami poliuria. Saya tidak merasakan adanya gemetaran. kegelisahan. Saya mengalami kegemukan dalam beberapa hari terakhir. Saya tidak merasakan adanya bisul di lidah. Kasus kelesuan ringan. Saya mengalami kadar gula tidak teratur.,7
73,"kegelisahan. penglihatan kabur dan terdistorsi. Saya tidak merasakan adanya sakit punggung. kelelahan. nafsu makan meningkat. Saya tidak merasakan adanya muntah. Kasus kadar gula tidak teratur ringan. Saya mengalami kelesuan. Sesekali, poliuria saya rasakan. Sering bermasalah dengan rasa lapar yang berlebihan. Kasus kegemukan ringan. Tidak ada sakit kepala.",7
74,Tidak ada bisul di lidah. Saya mengalami poliuria sesekali. kegemukan. Saya mengalami penglihatan kabur dan terdistorsi dalam beberapa hari terakhir. Saya tidak merasakan adanya gatal. Sering bermasalah dengan kadar gula tidak teratur. Saya mengalami nafsu makan meningkat sesekali. Saya tidak merasakan gemetaran. Saya mengalami kelelahan. Kasus kelesuan ringan. Sering bermasalah dengan rasa lapar yang berlebihan. Sering bermasalah dengan penurunan berat badan.,7
75,Kasus nafsu makan meningkat ringan. Saya menemukan tanda-tanda penglihatan kabur dan terdistorsi. Sering bermasalah dengan kegelisahan. Saya mengalami kadar gula tidak teratur sesekali. Saya menemukan tanda-tanda penurunan berat badan. Saya mengalami kegemukan dalam beberapa hari terakhir. Saya tidak merasakan sakit perut. Saya mengalami poliuria sesekali. Tidak ada bisul di lidah. Saya mengalami kelelahan. rasa lapar yang berlebihan. Saya tidak merasakan buang air kecil bercak.,7
76,"Sering bermasalah dengan poliuria. Saya mengalami kelesuan. Sering bermasalah dengan kegemukan. Tidak ada buang air kecil yang terbakar. Saya tidak merasakan sakit perut 1. Saya mengalami penurunan berat badan dalam beberapa hari terakhir. Saya tidak merasakan nyeri sendi. Sesekali, nafsu makan meningkat saya rasakan. Sering bermasalah dengan rasa lapar yang berlebihan. Sesekali, penglihatan kabur dan terdistorsi saya rasakan. Saya mengalami kegelisahan dalam beberapa hari terakhir. Sesekali, kelelahan saya rasakan.",7
77,"Sesekali, rasa lapar yang berlebihan saya rasakan. Saya tidak merasakan adanya sakit punggung. Saya menemukan tanda-tanda kegemukan. Tidak ada ekstremitas bengkak. Sesekali, poliuria saya rasakan. Sering bermasalah dengan kelesuan. Sesekali, kadar gula tidak teratur saya rasakan. Kasus nafsu makan meningkat ringan. Sering bermasalah dengan kelelahan. Tidak ada pilek. Sering bermasalah dengan penurunan berat badan. Saya mengalami kegelisahan dalam beberapa hari terakhir.",7
78,"Saya mengalami rasa lapar yang berlebihan. Saya mengalami kadar gula tidak teratur sesekali. Tidak ada kegoyangan. Saya tidak merasakan adanya pemborosan otot. Saya mengalami kelesuan. Tidak ada gerakan berputar. Saya mengalami poliuria sesekali. Saya mengalami kegelisahan. Sesekali, penglihatan kabur dan terdistorsi saya rasakan. Sesekali, penurunan berat badan saya rasakan. Sering bermasalah dengan nafsu makan meningkat. Saya mengalami kelelahan sesekali.",7
79,"Saya tidak merasakan adanya gemetaran. Saya mengalami penglihatan kabur dan terdistorsi sesekali. Kasus penurunan berat badan ringan. Saya mengalami kegelisahan sesekali. Saya tidak merasakan nyeri saat buang air besar. kadar gula tidak teratur. Sering bermasalah dengan nafsu makan meningkat. Sesekali, poliuria saya rasakan. Sering bermasalah dengan kelelahan. Sering bermasalah dengan kegemukan. Saya tidak merasakan pemborosan otot. Saya mengalami kelesuan sesekali.",7
80,"Saya tidak merasakan adanya gatal. Saya mengalami muntah sesekali. Sesekali, dehidrasi saya rasakan. Sesekali, diare saya rasakan. Sesekali, mata cekung saya rasakan. Tidak ada sakit perut. Saya tidak merasakan nyeri sendi.",8
81,Tidak ada penyumbatan. Saya tidak merasakan adanya sesak napas. Saya mengalami dehidrasi dalam beberapa hari terakhir. Tidak ada sembelit. Saya mengalami mata cekung. muntah. Kasus diare ringan.,8
82,"Sesekali, diare saya rasakan. Saya menemukan tanda-tanda dehidrasi. Saya menemukan tanda-tanda mata cekung. Saya tidak merasakan adanya sakit perut 1. Tidak ada kulit kekuningan. Saya tidak merasakan adanya sesak napas.",8
83,Kasus muntah ringan. Sering bermasalah dengan diare. Tidak ada sakit punggung. Saya tidak merasakan sakit perut. Tidak ada demam tinggi. Saya mengalami dehidrasi dalam beberapa hari terakhir.,8
84,"Saya mengalami diare. Saya tidak merasakan kecemasan. mata cekung. Sesekali, muntah saya rasakan. Saya tidak merasakan adanya tangan dan kaki dingin. Tidak ada keasaman.",8
85,Saya menemukan tanda-tanda mata cekung. Saya tidak merasakan adanya iritasi tenggorokan. Saya menemukan tanda-tanda muntah. Saya tidak merasakan kegemukan. Kasus dehidrasi ringan. Saya tidak merasakan penambahan berat badan.,8
86,Kasus muntah ringan. Saya tidak merasakan buang air kecil yang terbakar. Sering bermasalah dengan mata cekung. Tidak ada keasaman. Tidak ada ruam kulit. Saya mengalami diare sesekali. Saya mengalami dehidrasi dalam beberapa hari terakhir.,8
87,Saya tidak merasakan adanya urin gelap. Sering bermasalah dengan dehidrasi. Saya menemukan tanda-tanda diare. Saya tidak merasakan sesak napas. Saya tidak merasakan adanya kecemasan. Saya mengalami mata cekung.,8
88,Sering bermasalah dengan dehidrasi. Saya tidak merasakan adanya panas dingin. muntah. Tidak ada kecemasan. Saya mengalami diare. Saya tidak merasakan pemborosan otot.,8
89,Tidak ada sesak napas. Kasus diare ringan. Saya mengalami mata cekung dalam beberapa hari terakhir. Saya tidak merasakan adanya kulit kekuningan. Saya tidak merasakan adanya sakit kepala. Kasus muntah ringan.,8
90,Tidak ada kecemasan. Saya tidak merasakan sakit perut 1. Saya tidak merasakan adanya demam ringan. demam tinggi. dahak mukoid. Saya mengalami kelelahan sesekali. Kasus sejarah keluarga ringan. Kasus sesak napas ringan. Saya mengalami batuk.,9
91,Saya tidak merasakan kadar gula tidak teratur. Saya menemukan tanda-tanda dahak mukoid. Saya tidak merasakan penambahan berat badan. Saya mengalami batuk dalam beberapa hari terakhir. Saya mengalami demam tinggi. Saya menemukan tanda-tanda sesak napas. Kasus sejarah keluarga ringan. Saya tidak merasakan urin gelap.,9
92,"Saya mengalami dahak mukoid dalam beberapa hari terakhir. Tidak ada nyeri sendi. Saya tidak merasakan adanya bercak di tenggorokan. Kasus demam tinggi ringan. Sesekali, sejarah keluarga saya rasakan. Saya tidak merasakan sakit kepala. Saya mengalami kelelahan. Sering bermasalah dengan sesak napas.",9
93,"Tidak ada gatal. Sesekali, sejarah keluarga saya rasakan. Saya mengalami kelelahan dalam beberapa hari terakhir. Tidak ada bisul di lidah. batuk. Saya tidak merasakan buang air kecil yang terbakar. Saya menemukan tanda-tanda sesak napas. Saya mengalami dahak mukoid dalam beberapa hari terakhir.",9
94,Kasus kelelahan ringan. Saya tidak merasakan adanya dehidrasi. Saya tidak merasakan muntah. Saya mengalami dahak mukoid sesekali. Saya menemukan tanda-tanda batuk. Saya mengalami sejarah keluarga dalam beberapa hari terakhir. Saya mengalami demam tinggi dalam beberapa hari terakhir. Saya tidak merasakan adanya buang air kecil yang terbakar.,9
95,"Kasus demam tinggi ringan. Saya tidak merasakan sakit perut. dahak mukoid. Saya mengalami batuk. Tidak ada gatal. Tidak ada kecemasan. Sesekali, kelelahan saya rasakan. Sering bermasalah dengan sesak napas.",9
96,"Sesekali, demam tinggi saya rasakan. Tidak ada penambahan berat badan. Sesekali, sesak napas saya rasakan. Saya mengalami sejarah keluarga dalam beberapa hari terakhir. Saya menemukan tanda-tanda batuk. Saya tidak merasakan adanya perubahan suasana hati. Saya tidak merasakan adanya kadar gula tidak teratur. Sesekali, kelelahan saya rasakan.",9
97,"Sesekali, sesak napas saya rasakan. Sering bermasalah dengan dahak mukoid. Saya mengalami batuk sesekali. Saya tidak merasakan adanya kadar gula tidak teratur. Saya menemukan tanda-tanda kelelahan. Tidak ada kecemasan. sejarah keluarga. Tidak ada keasaman. Saya mengalami demam tinggi sesekali.",9
