indeks;label;text
27; Psoriasis; Saya telah melihat kulit yang tiba-tiba mengelupas di berbagai bagian tubuh saya, kebanyakan lengan, kaki, dan punggung. Selain itu, saya mengalami nyeri sendi dan ruam kulit yang signifikan. Ruam menyebar ke berbagai bagian tubuh saya.
28; Psoriasis; Kulit kelamin saya merah dan iritasi. Itu sering menjengkelkan, membakar, dan tidak menyenangkan. Ada juga ruam di berbagai tempat di tubuh. Juga, saya memiliki rasa sakit yang aneh di persendian saya.
29; Psoriasis;Saya sulit tidur karena gatal dan nyeri akibat ruam. Kuku saya memiliki penyok kecil, yang benar-benar mengkhawatirkan. Ada peradangan yang terlihat di kuku saya.
30; Psoriasis; Karena kulit saya kering dan bersisik, saya rentan terhadap infeksi. Sendi saya sangat menderita. Kulit di lutut dan siku saya mulai mengelupas.
31; Psoriasis; Kulit saya pecah karena ruam. Saat saya garuk atau gosok ruamnya, sering berdarah. Selain itu, saya telah mengamati penyok kecil di kuku saya. Ada peradangan yang terlihat di kuku saya.
32; Psoriasis; Saya telah mengamati bahwa kulit saya lebih sensitif sekarang daripada dulu. Kulit saya memiliki lapisan keperakan, terutama di punggung dan siku.
33; Psoriasis; Telapak tangan dan telapak kaki saya tumbuh dan berkembang menjadi retakan yang parah. Retakan ini tidak menyenangkan dan sering berdarah. Selain itu, kulitnya mulai mengelupas.
34; Psoriasis; Kuku saya mulai berlubang kecil. Saya khawatir dan tidak tahu apa penyebabnya. Juga, persendian saya sakit dan ada ruam di lengan dan punggung saya.
35; Psoriasis;Ada perak seperti debu di kulitku. Apalagi kulit di lengan dan punggung saya mulai mengelupas. Ini aneh dan sangat mengkhawatirkan saya.
36; Psoriasis; Ruam kulit saya telah meluas ke area lain di tubuh saya, termasuk dada dan perut saya. Itu menjengkelkan dan tidak menyenangkan, dan seringkali lebih buruk di malam hari. Saya juga mengalami pengelupasan kulit.
37; Psoriasis; Ruam kulit saya semakin parah di musim dingin saat udara kering. Untuk menjaga kelembapan kulit, saya harus lebih sering melembabkan dan menggunakan pelembap. Saya juga menghadapi nyeri sendi.
38; Psoriasis; Saya sulit tidur karena gatal dan nyeri akibat ruam. Kuku saya memiliki sedikit penyok. Saya juga mengalami pengelupasan kulit di berbagai bagian tubuh saya.
39; Psoriasis; Kulit saya mengelupas di beberapa tempat, terutama di lutut, siku, dan lengan. Pengelupasan ini sering disertai dengan sensasi nyeri atau terbakar. Saya juga mengalami penyok kecil di kuku saya, yang sangat memprihatinkan.
40; Psoriasis;Kulit saya memiliki lapisan keperakan di atasnya, terutama di punggung dan lengan saya. Debu ini terdiri dari sisik-sisik kecil yang mudah terkelupas saat digosok. Juga, ada ruam di seluruh tubuh saya.
41; Psoriasis; Lengan, wajah, dan punggungku semuanya merah dan iritasi. Hal ini sering menjengkelkan dan tidak menyenangkan. Kuku saya mengalami peradangan yang aneh dan mengalami penyok kecil. Saya tidak pernah melihat sesuatu seperti ini.
42; Psoriasis; Saya sulit tidur karena gatal dan nyeri akibat ruam. Kuku saya memiliki penyok kecil, yang benar-benar mengkhawatirkan. Selain itu, persendian saya sakit setiap hari dan saya tidak tahu apa penyebabnya.
43; Psoriasis; Jari tangan dan telapak kaki saya memiliki kulit yang cukup tebal yang pecah-pecah parah. Patah tulang ini sering sakit dan berdarah. Patah tulang terasa gatal dan tertutup sisik.
44; Psoriasis; Kulit saya berubah dari kurang sensitif menjadi lebih sensitif. Kulit saya memiliki lapisan keperakan, terutama di punggung, siku, dan lutut.
45; Psoriasis;Kuku saya sedikit penyok. Bahkan persendian saya sekarang mengalami ketidaknyamanan yang luar biasa. Kulit saya memiliki bedak seperti perak, terutama di punggung dan siku.
46; Psoriasis; Saya sulit tidur karena sakit dan gatal pada ruam. Kulit di jari saya mulai mengelupas. Kuku saya memiliki beberapa retakan kecil, yang sangat mengkhawatirkan.
47; Psoriasis; Sendi saya mengalami ketidaknyamanan yang tidak biasa. Selain itu, saya mengalami pengelupasan kulit yang aneh di berbagai tempat di tubuh saya. Saya khawatir ada yang salah dengan tubuh saya.
48; Psoriasis; Saya mulai mengalami ruam di lengan dan leher saya. Ruamnya sering berdarah dan sakit saat saya garuk. Saya juga mengalami penyok kecil di kuku saya, yang sangat aneh.
49; Psoriasis; Karena kulit saya kering dan bersisik, saya rentan terhadap infeksi. Sendi saya sangat sakit. Kulit lutut dan siku saya mulai mengelupas.
50; Pembuluh mekar;Saya memiliki ruam di kaki saya yang menyebabkan banyak ketidaknyamanan. Sepertinya ada kram dan saya bisa melihat urat menonjol di betis. Juga, saya merasa sangat lelah dan lelah dalam beberapa hari terakhir.
51; Pembuluh mekar; Betis saya kram saat berjalan atau berdiri dalam waktu lama. Ada bekas memar di betis saya, yang membuat saya khawatir. Saya merasa lelah segera.
52; Pembuluh mekar; Ada memar di kaki saya yang tidak bisa saya jelaskan. Saya bisa melihat pembuluh darah aneh di bawah kulit. Juga, saya sedikit gemuk dan saya sangat khawatir.
53; Pembuluh mekar; Saya kelebihan berat badan dan memperhatikan bahwa kaki saya bengkak dan pembuluh darah terlihat. Kaki saya bengkak dan saya bisa melihat aliran pembuluh darah bengkak di betis saya.
54; Pembuluh mekar; Pembuluh darah di betis saya menjadi sangat menonjol dan menyebabkan ketidaknyamanan. Saya tidak tahan untuk waktu yang lama, karena menyebabkan rasa sakit di kaki saya, mirip dengan kram.
55; Pembuluh mekar;Kulit di sekitar urat di kaki saya merah dan meradang. Saya yakin saya bisa melihat beberapa pembuluh darah yang bengkak. Saya sangat khawatir tentang itu.
56; Pembuluh mekar; Berdiri atau berjalan dalam waktu lama menyebabkan banyak rasa sakit di kaki saya. Saya mengalami kram saat melakukan aktivitas fisik. Ada juga bekas memar di kaki saya.
57; Pembuluh mekar; Kram di betis saya membuat saya sulit berjalan. Saya merasa lelah setelah bekerja selama beberapa waktu. Saya percaya obesitas adalah alasan di balik ini.
58; Pembuluh mekar; Bengkak di kaki saya semakin parah selama beberapa minggu terakhir. Sekarang, banyak pembuluh darah terlihat di betis saya, yang membuat saya khawatir.
59; Pembuluh mekar; Pembuluh darah di kaki saya sangat terlihat dan membuat saya tidak nyaman. Sepertinya ada memar besar dan saya kram saat berlari.
60; Pembuluh mekar; Kulit di betis saya menjadi meradang dan merah. Kaki saya sakit jika saya mencoba berlari atau melakukan aktivitas fisik apa pun.
61; Pembuluh mekar;Baru-baru ini, rasa sakit di betis saya terus-menerus dan menjadi lebih buruk ketika saya berdiri atau berjalan dalam waktu lama. Kaki saya sudah mulai membengkak dan juga beberapa pembuluh darah cukup terlihat.
62; Pembuluh mekar; Pembuluh darah di kaki saya menyebabkan ketidaknyamanan dan sulit tidur di malam hari. Saya tidak tahu mengapa itu terjadi. Saya mengalami kram saat berlari.
63; Pembuluh mekar; Bengkak di kaki saya menyebabkan saya kesulitan menyesuaikan diri dengan sepatu saya. Saya tidak bisa berlari atau berdiri untuk waktu yang lama. Saya bisa melihat beberapa pembuluh darah bengkak.
64; Pembuluh mekar; Saya perhatikan kram di betis saya menjadi lebih sering dan intens. Hal ini menyebabkan saya banyak ketidaknyamanan. Saya juga kelebihan berat badan dan kaki saya sudah mulai membengkak.
65; Pembuluh mekar; Pembuluh darah di kaki saya menyebabkan banyak ketidaknyamanan saat saya duduk dalam waktu lama.
66; Pembuluh mekar; Ruam di kaki saya semakin menyebar dan semakin parah. Menjadi sangat sulit bagi saya untuk berlari.
67; Pembuluh mekar;Kaki saya menyebabkan banyak ketidaknyamanan saat berolahraga. Saya sering kram dan pembuluh darah menjadi sangat terlihat.
68; Pembuluh mekar; Pembuluh darah yang menonjol di betis saya menyebabkan kesadaran diri dan rasa malu. Saya percaya masalahnya adalah karena kelebihan berat badan saya.
69; Pembuluh mekar; Kulit di sekitar pembuluh darah di kaki saya kering dan terkelupas. Sepertinya ada memar besar dan kaki saya sudah mulai membengkak.
70; Pembuluh mekar; Saya telah mengalami ruam di kaki saya yang menyebabkan banyak iritasi dan ketidaknyamanan. Itu merah dan meradang dan tampaknya menyebar.
71; Pembuluh mekar; Belakangan ini, betis saya sering kram, terutama saat berjalan atau berdiri dalam waktu lama. Juga, pembuluh darah sangat terlihat.
72; Pembuluh mekar; Saya perhatikan ada memar di kaki saya yang tidak bisa saya jelaskan. Mereka tidak menyakitkan tetapi mengkhawatirkan saya.
73; Pembuluh mekar; Karena saya kelebihan berat badan, saya perhatikan bahwa kaki saya bengkak dan pembuluh darah lebih terlihat dari biasanya. Pembengkakan tampaknya semakin memburuk dari waktu ke waktu.
74; Pembuluh mekar;Pembuluh darah di betis saya sangat menonjol dan membuat saya sangat tidak nyaman. Mereka bengkak dan menonjol dari kulit saya.
75; Pembuluh mekar; Kulit di sekitar urat di kaki saya merah, meradang, dan gatal. Ini menyebabkan banyak ketidaknyamanan dan saya mulai mengalami kram biasa.
76; Pembuluh mekar; Berdiri atau berjalan dalam waktu lama telah menyebabkan banyak rasa sakit di kaki saya. Rasanya seperti kram dan semakin parah semakin lama saya berdiri.
77; Pembuluh mekar; Kram di betis saya membuat saya sulit untuk berjalan dan melakukan aktivitas sehari-hari. Mereka datang tiba-tiba dan berlangsung selama beberapa menit.
78; Pembuluh mekar; Pembengkakan di kaki saya semakin parah selama beberapa minggu terakhir dan menyebabkan saya kesulitan menyesuaikan diri dengan sepatu saya. Itu juga menyebabkan ketidaknyamanan ketika saya duduk untuk waktu yang lama.
79; Pembuluh mekar; Pembuluh darah di kaki saya sangat terlihat dan membuat saya sangat tidak nyaman. Mereka bengkak dan menonjol dari kulit saya, membuatnya terlihat melalui pakaian saya.
80; Pembuluh mekar;Kulit betis saya gatal dan meradang, menyebabkan banyak ketidaknyamanan dan sulit tidur di malam hari. Pembuluh darah sudah mulai menonjol keluar, yang memprihatinkan.
81; Pembuluh mekar; Rasa sakit di betis saya konstan dan menjadi lebih buruk ketika saya berdiri atau berjalan dalam waktu lama. Saya mengalami kram terus-menerus dan tidak bisa berlari untuk waktu yang lama.
82; Pembuluh mekar; Pembuluh darah di kaki saya menyebabkan ketidaknyamanan dan sulit tidur di malam hari. Mereka bengkak dan menonjol dari kulit saya, membuatnya terlihat dan menyakitkan.
83; Pembuluh mekar; Pembengkakan di kaki saya menyebabkan saya kesulitan untuk memakai sepatu dan menyebabkan rasa tidak nyaman ketika saya duduk dalam waktu yang lama.
84; Pembuluh mekar; Kram di betis saya semakin sering dan intens, membuat saya sulit untuk berjalan dan melakukan aktivitas sehari-hari.
85; Pembuluh mekar; Pembuluh darah di kaki saya menyebabkan banyak ketidaknyamanan saat saya duduk dalam waktu lama. Mereka bengkak dan menonjol dari kulit saya, membuat mereka sakit dan terlihat.
86; Pembuluh mekar;Ruam di kaki saya semakin menyebar dan semakin parah. Itu merah, meradang, dan gatal, menyebabkan banyak ketidaknyamanan dan kesulitan tidur di malam hari.
87; Pembuluh mekar; Kaki saya telah menyebabkan banyak ketidaknyamanan saat berolahraga. Mereka terasa berat dan bengkak, dan pembuluh darahnya menonjol dan nyeri. Saya merasa lelah sepanjang waktu.
88; Pembuluh mekar; Pembuluh darah menonjol di betis saya menyebabkan kesadaran diri dan rasa malu. Mereka bengkak dan menonjol dari kulit saya, membuatnya sangat terlihat.
89; Pembuluh mekar; Kulit di sekitar pembuluh darah di kaki saya kering dan bersisik, menyebabkan rasa tidak nyaman dan iritasi. Saya juga mulai sering kram.
90; Pembuluh mekar; Saya memiliki ruam di kaki saya yang memberi saya banyak rasa sakit. Tampaknya ada kram, dan saya bisa melihat pembuluh darah yang terlihat di betis.
91; Pembuluh mekar; Urat kaki saya menjadi lebih terlihat dan bengkak dari biasanya. Mereka terlihat melalui kulit saya dan terasa sakit saat saya bergerak.
92; Pembuluh mekar;Berjalan sangat sulit bagi saya karena kram di betis saya. Obesitas, saya yakin, adalah penyebabnya. Setelah beberapa saat bekerja, saya kelelahan.
93; Pembuluh mekar; Pembuluh darah di kaki saya cukup terlihat dan membuat saya sangat kesakitan. Mereka besar dan menonjol dari kulitku. Ini tidak biasa dan saya khawatir tentang itu.
94; Pembuluh mekar; Saya perhatikan bahwa pembuluh darah di kaki saya menjadi lebih terlihat dari biasanya. Ini sedikit memprihatinkan bagi saya. Apalagi saya mengalami kram setiap hari.
95; Pembuluh mekar; Pembengkakan kaki saya menjadi lebih buruk selama beberapa hari terakhir. Aku bisa melihat pembuluh darah menonjol keluar dari kulit. Ini sangat tidak biasa.
96; Pembuluh mekar; Berdiri atau berjalan dalam waktu lama telah menyebabkan ketidaknyamanan yang parah pada kaki saya. Ini adalah rasa sakit yang membakar yang semakin parah semakin lama aku berdiri.
97; Pembuluh mekar; Kulit kaki saya di sekitar pembuluh darah tidak biasa. Tampaknya ada memar besar. Saat ini, saya sering mengalami kram saat berlari atau berlari.
98; Pembuluh mekar;Saya mengalami terlalu banyak kram dalam beberapa hari terakhir. Saya pikir ada sesuatu yang tidak benar. Saya percaya ada memar kecil di betis saya, tapi saya tidak yakin tentang itu.
99; Pembuluh mekar; Pembuluh darah di betis saya menonjol keluar sangat tidak biasa. Saya khawatir tentang itu. Juga, saya kelebihan berat badan dan saya yakin inilah alasan di balik semua ini.
100; Penyakit tipus; Saya mengalami sembelit dan sakit perut, dan itu sangat tidak nyaman. Sakit perut semakin parah dan mulai mempengaruhi kehidupan sehari-hari saya. Apalagi setiap malam saya menggigil, diikuti demam ringan.
101; Penyakit tipus; Saya juga mengalami diare, yang sangat tidak menyenangkan. Sudah datang dan pergi, dan disertai dengan kram perut dan kembung.
102; Penyakit tipus; Saya telah mengalami menggigil dan demam, bersamaan dengan sakit perut yang parah. Saya merasa sangat sengsara secara keseluruhan, dan sepertinya saya tidak bisa menghilangkan gejala-gejala ini.
103; Penyakit tipus;Saya mengalami banyak kesulitan untuk tetap terhidrasi karena muntah dan diare. Ada demam ringan bersamaan dengan sembelit dan sakit kepala.
104; Penyakit tipus; Berat badan saya turun banyak dalam seminggu terakhir karena saya belum bisa makan banyak akibat mual dan muntah. Ini diikuti oleh demam ringan, sakit kepala dan sakit perut. Saya sangat khawatir dengan kesehatan saya.
105; Penyakit tipus; Kelelahannya benar-benar tidak nyaman, dan saya mengalami banyak kesulitan dalam melakukan aktivitas seperti biasa. Saya juga merasa sangat tertekan dan mudah tersinggung. Ada juga nyeri ringan di bagian perut.
106; Penyakit tipus; Saya mengalami sakit kepala terus-menerus selama seminggu terakhir, dan semakin parah. Sudah disertai sakit perut, sembelit dan diare.
107; Penyakit tipus; Saya mengalami demam tinggi, terutama pada malam hari. Benar-benar tidak nyaman. Ada sakit kepala ringan disertai sembelit dan diare.
108; Penyakit tipus;Saya mengalami banyak kesulitan bernapas, dan saya merasa mual terus-menerus. Saya juga mengalami sakit perut ringan. Kadang-kadang menakutkan.
109; Penyakit tipus; Diare benar-benar berair dan berbau busuk, dan disertai dengan sakit perut. Saya sering merasa ingin muntah.
110; Penyakit tipus; Saya mengalami banyak kesulitan tidur karena demam tinggi, sakit kepala dan menggigil. Saya bangun setiap hari merasakan sakit yang luar biasa di daerah perut saya.
111; Penyakit tipus; Saya juga mengalami diare dan sembelit, yang sangat mengkhawatirkan. Rasanya seperti sakit yang tajam dan menusuk di daerah perut saya. Saya merasa lelah sepanjang waktu.
112; Penyakit tipus; Saya mengalami sembelit dan sakit perut, yang sangat tidak nyaman. Rasa sakitnya semakin parah dan itu benar-benar mempengaruhi kehidupan sehari-hari saya.
113; Penyakit tipus; Saya mengalami banyak sakit perut dan sembelit, yang sangat mengganggu. Kadang-kadang, saya merasakan dorongan yang kuat untuk muntah, dan karena semua ini, saya merasa sangat lemah.
114; Penyakit tipus;Sakit perut datang dan pergi, dan itu benar-benar tidak menyenangkan. Itu disertai dengan sembelit dan muntah. Saya merasa sangat khawatir dengan kesehatan saya.
115; Penyakit tipus; Saya telah mengalami banyak kembung dan sembelit, dan itu sangat tidak nyaman. Rasanya seperti ada banyak tekanan dan rasa sakit di daerah perut saya.
116; Penyakit tipus; Saya mengalami sakit perut yang luar biasa dan sembelit. Setiap malam, saya mengalami demam parah disertai menggigil dan sakit kepala. Beberapa hari terakhir benar-benar tidak nyaman.
117; Penyakit tipus; Saya merasa lelah dan lemah, dan sepertinya saya tidak bisa menghilangkannya. Karena muntah dan mual, saya benar-benar kehilangan nafsu makan. Sakit perut saya yang membuat saya khawatir.
118; Penyakit tipus; Saya mengalami sembelit dan sakit perut, yang sangat sulit. Ketidaknyamanan semakin memburuk, dan ini sangat mengganggu kehidupan sehari-hari saya.
119; Penyakit tipus;Karena muntah dan diare, saya mengalami banyak kesulitan untuk tetap terhidrasi. Saya mengalami demam tinggi, serta sembelit dan sakit kepala.
120; Penyakit tipus; Sakit perut sudah sering dan sangat menyakitkan. Sembelit dan muntah juga terjadi. Saya cukup khawatir dengan kesehatan saya.
121; Penyakit tipus; Saya mengalami sakit perut yang parah dan sembelit. Setiap malam, saya sakit kepala dan menggigil. Beberapa hari terakhir ini benar-benar menyakitkan.
122; Penyakit tipus; Ada rasa sakit yang berbeda di bagian perut saya. Saya tidak yakin apa itu. Saya juga mengalami muntah terus-menerus dan merasa mual.
123; Penyakit tipus; Diarenya cukup cair dan berbau, disertai sakit perut yang parah dan sakit kepala. Sebagian besar waktu, saya merasa ingin muntah.
124; Penyakit tipus; Saya mengalami demam selama beberapa hari terakhir. Sekarang, saya mulai mengalami sakit parah di daerah perut saya dan menderita sembelit.
125; Penyakit tipus;Saya mengalami banyak mual dan muntah, dan sudah cukup sulit bagi saya untuk makan apapun. Saya benar-benar kehilangan nafsu makan, dan akibatnya, saya menjadi sangat lemah.
126; Penyakit tipus; Saya mengalami banyak kesulitan tidur karena demam tinggi dan sakit kepala. Selain itu, perut saya sakit terus-menerus, karena itu saya tidak bisa pergi bekerja.
127; Penyakit tipus; Saya merasa sangat lelah dan lemah, dan sepertinya saya tidak bisa menghilangkannya. Saya mengalami demam ringan dan rasa sakit yang aneh di daerah perut saya. Saya tidak mengerti apa yang sedang terjadi.
128; Penyakit tipus; Saya menderita sembelit dan perut tidak nyaman, yang benar-benar tidak nyaman. Tadi malam, saya juga demam ringan.
129; Penyakit tipus; Saya juga menderita diare, yang sangat tidak nyaman. Itu datang dan pergi, dan itu disertai dengan sakit perut dan muntah.
130; Penyakit tipus; Saya telah mengalami menggigil, demam, dan ketidaknyamanan perut yang ekstrim. Secara umum saya tidak bahagia, dan sepertinya saya tidak bisa menghilangkan gejala-gejala ini.
131; Penyakit tipus;Karena muntah dan diare, saya mengalami banyak kesulitan untuk tetap terhidrasi. Ada demam ringan juga, juga sakit perut.
132; Penyakit tipus; Saya mengalami diare. Itu disertai dengan rasa sakit yang parah di daerah perut saya. Saya tidak ingin makan apa pun, dan seringkali, saya mengalami sakit kepala ringan.
133; Penyakit tipus; Saya mengalami banyak kembung dan sembelit, yang sangat menyakitkan. Ada banyak tekanan dan rasa sakit di daerah perut saya. Saya mengalami demam tinggi dan menggigil setiap malam.
134; Penyakit tipus; Saya mengalami sakit perut yang terus-menerus selama seminggu terakhir, dan tidak sembuh bahkan dengan obat. Saya merasa ingin muntah dan tidak bisa makan apapun, dan karena itu saya menjadi sangat lemah.
135; Penyakit tipus; Saya mengalami ketidaknyamanan perut yang parah dan diare. Saya demam tinggi disertai sakit kepala. Beberapa hari sebelumnya benar-benar tidak menyenangkan.
136; Penyakit tipus;Saya mengalami sakit yang luar biasa di bagian perut saya, dan saya merasa sangat mual. Saya juga mengalami demam ringan. Saya sangat khawatir.
137; Penyakit tipus; Saya mengalami sembelit dan sakit perut. Ketidaknyamanan semakin memburuk, dan ini sangat mengganggu kehidupan sehari-hari saya. Saya merasa seperti kehilangan nafsu makan untuk makan apapun.
138; Penyakit tipus; Sebagian besar waktu saya merasa lelah. Saya tidak ingin makan apapun. Saya mengalami demam tinggi dan menggigil setiap malam. Apalagi saya sudah muntah sejak kemarin.
139; Penyakit tipus; Saya kehilangan nafsu makan dan melihat penurunan berat badan yang signifikan. Saya mengalami sakit perut, terutama di area perut dan usus. Saya khawatir dengan kesehatan saya.
140; Penyakit tipus; Ketidaknyamanan perut sudah parah dan sering terjadi. Muntah dan sembelit juga terjadi. Saya khawatir dengan kesehatan saya.
141; Penyakit tipus;Saya mengalami diare dan buang air besar encer beberapa kali sehari. Saya kehilangan nafsu makan dan merasa mual sepanjang waktu. Saya juga mulai demam ringan.
142; Penyakit tipus; Saya merasa sangat lemah. Saya mengalami banyak ketidaknyamanan perut dan sembelit, yang sangat mengganggu saya. Saya kadang-kadang ingin muntah, dan akibatnya, saya tidak bisa makan apa pun.
143; Penyakit tipus; Ada rasa sakit yang aneh di daerah perut saya. Saya tidak tahu apa alasan di balik ini. Selain itu, saya mulai mengalami demam ringan disertai menggigil dan sakit kepala.
144; Penyakit tipus; Saya mengalami demam tinggi, terutama pada malam hari. Itu sangat tidak menyenangkan. Ada sedikit sakit kepala, juga sembelit dan diare. Aku sedang tidak ingin makan apapun.
145; Penyakit tipus; Saya mengalami banyak kesulitan untuk tetap terhidrasi karena muntah dan diare. Saya mengalami demam tinggi, konstipasi, dan sakit kepala. Saya juga mulai merasakan sakit yang aneh di daerah perut saya dan saya tidak bisa melakukan apapun secara fisik.
146; Penyakit tipus;Saya mengalami sakit kepala selama seminggu terakhir yang semakin memburuk. Sudah disertai dengan sakit perut, sembelit, dan diare. Saya tidak tahu apa yang terjadi dan saya benar-benar khawatir tentang hal itu.
147; Penyakit tipus; Berat badan saya turun banyak dalam seminggu terakhir karena saya tidak bisa makan banyak karena mual dan muntah. Ini diikuti oleh demam tinggi, sakit kepala, dan sakit perut.
148; Penyakit tipus; Saya mengalami diare dan sembelit, yang cukup memprihatinkan. Di perut saya, ada rasa sakit yang parah dan menyakitkan. Saya terus-menerus kelelahan dan tidak ingin makan apa pun.
149; Penyakit tipus; Saya mengalami diare dan buang air besar yang encer berkali-kali dalam sehari. Saya kehilangan nafsu makan dan selalu sakit. Saya juga mengalami demam ringan. Juga, bagian perut saya sangat sakit. Entah apa alasan di balik semua ini.
150; Cacar air; Saya telah mengalami rasa gatal yang hebat di seluruh kulit saya, dan itu membuat saya gila. Saya juga mengalami ruam yang merah dan meradang.
151; Cacar air;Saya merasa lelah dan tidak bertenaga. Saya hampir tidak bisa membuka mata di siang hari, dan saya merasa lesu dan tidak mampu memotivasi diri sendiri.
152; Cacar air; Saya mengalami demam tinggi selama beberapa hari terakhir. Saya tidak tahu apa penyebabnya. Juga, saya melihat ruam di kulit saya dan sulit bagi saya untuk menahan diri dari menggaruk.
153; Cacar air; Saya kehilangan nafsu makan dan sepertinya tidak bisa makan apapun. Saya khawatir dengan kesehatan saya.
154; Cacar air; Ada bintik-bintik merah kecil di sekujur tubuh saya yang tidak bisa saya jelaskan. Ini mengkhawatirkan saya. Saya merasa sangat lelah dan mengalami demam ringan setiap malam.
155; Cacar air; Kelenjar getah bening saya bengkak, menyebabkan rasa tidak nyaman di leher dan ketiak saya. Saya tidak tahu apa penyebabnya.
